iso_code,country,gdp_billion_usd,population_million,inflation_rate,unemployment_rate,external_debt_gni_pct,latitude,longitude
USA,United States,27360,334.0,4.1,3.6,,38.9,-77.04
CHN,China,17790,1412.0,0.2,5.2,14,39.9,116.4
JPN,Japan,4210,124.5,3.3,2.6,,35.68,139.69
DEU,Germany,4460,84.0,5.9,3.0,,52.52,13.4
IND,India,3550,1428.0,5.7,7.1,19,28.61,77.21
GBR,United Kingdom,3340,67.0,6.8,4.0,,51.51,-0.13
FRA,France,3030,68.0,4.9,7.3,,48.85,2.35
ITA,Italy,2250,59.0,5.6,7.6,,41.9,12.5
BRA,Brazil,2170,216.0,4.6,8.0,34,-15.79,-47.88
CAN,Canada,2140,40.0,3.9,5.4,,45.42,-75.7
RUS,Russia,2020,144.0,5.9,3.2,18,55.75,37.62
MEX,Mexico,1790,128.0,5.5,2.8,30,19.43,-99.13
KOR,South Korea,1710,51.7,3.6,2.7,,37.57,126.98
AUS,Australia,1690,26.0,5.6,3.7,,-35.28,149.13
ESP,Spain,1580,48.0,3.5,12.1,,40.42,-3.7
IDN,Indonesia,1370,277.0,3.7,5.3,39,-6.21,106.85
NLD,Netherlands,1120,17.8,4.1,3.5,,52.37,4.9
SAU,Saudi Arabia,1070,36.0,2.5,5.6,,24.63,46.72
CHE,Switzerland,870,8.8,2.1,2.0,,46.95,7.45
POL,Poland,810,38.0,11.4,2.9,55,52.23,21.01
TUR,Turkey,1110,85.0,53.9,9.4,50,39.93,32.85
SWE,Sweden,590,10.5,6.0,7.5,,59.33,18.07
NOR,Norway,530,5.5,5.5,3.6,,59.91,10.75
VNM,Vietnam,430,98.0,3.3,2.3,38,21.03,105.85
EGY,Egypt,396,112.0,33.7,7.2,38,30.04,31.24
NGA,Nigeria,390,223.0,24.7,4.1,14,9.06,7.49
PAK,Pakistan,340,240.0,29.2,6.3,35,33.69,73.06
ZAF,South Africa,380,60.0,5.9,32.1,40,-25.75,28.19
ARG,Argentina,640,46.0,133.5,6.2,45,-34.6,-58.38
GRC,Greece,240,10.4,4.2,11.1,,37.98,23.73
LKA,Sri Lanka,84,22.0,17.4,5.5,65,6.93,79.85
VEN,Venezuela,100,28.0,190.0,5.5,160,10.49,-66.9
